Daniel Halfar,DHalfar,0
Lucas Venuto,VenutoMarcel,1
Mbilla Etame,mbillaetame1,19
Vladimir Bystrov,vladbystrov,454
Haris Medunjanin,HarisMedunjani,344
Massimo Maccarone,panteranucleo,3
Mathieu Bodmer,BODMERmathieu,25898
Timothy Derijck,TDerijck,49
Davide Brivio,Davide_Brivio,76581
Omar Perdomo,Perdomomachado,3121
Alessandro Rosina,AleRosina68,2660
José María Basanta,BasantaJm,7482
James Vaughan,vaughany08,83842
Christophe Berra,ChristopheBerra,680
Marc Roberts,Robbo_4,8960
Erbín Trejo,erbintrejo,8875
Nicolás Ibáñez,nicolasibanez,1199
Przemyslaw Tyton,officialTyton,1108
Gerardo Alcoba,Nes_ToTo_0,15
Jacek Kielb,KielbJacek,59
Samir Ujkani,SamirUjkani,2001
Diego Arias,diegoiag,17780
Lasse Nielsen,lassekajak,129
McDonald Mariga,McMariga17,169
Bruno Alves,BrunoSantana_95,37422
Luke Freeman,l_ukefreeman,182
Kieran Lee,kieranlee1988,23046
Roy Beerens,RoyBeerens,235
Lee Wallace,LeeWallace1993,832
Sasa Lukic,SaaLuki5,1
Ramón Folch,ramonfolch6,3080
Miguel Samudio,samudiomiguel10,164453
Cristian Higuita,CristianHiguit2,8842
Luca Mora,LucamoraRSI,146
Serdar Kurtulus,KURTULUSERDAR,458
Luigi Vitale,giggivitale87,5147
Juan Cabezas,liberjuan,1684
Nsue,barucnsue,627
Andrés Cadavid,AndresCadavid26,31050
Bruno Viana,ViniciusBruno,1057
Barry Douglas,wbarrydouglas,2946
Nicolás Silva,NicoSD_,817
Elohim Rolland,26Elohim,434
Moreno Costanzo,MorenoACostanzo,26
Magnus Troest,troest_magnus,9
Takuya Iwanami,ta_ku0618,23464
Arnold Issoko,arnold7gazz,1
Roman Emelyanov,radioromashka,126736
Fabian Holland,fabianholland,458
Nicola Murru,niko_murru329,4679
Moritz Hartmann,moritzhartm,337
Mustafa Saymak,MustafaSaymak,3796
Arnór Ingvi Traustason,NoriTrausta,3707
Edgar Salli,SalliEdgar,1557
Oleksandr Kucher,CherkassySoya,3
Ruíz de Galarreta,ruizdegalarreta,13598
Khalid Boutaïb,khalidboutaib,6666
Emmanuel Bourgaud,bourgaud10,693
Connor Goldson,connorgoldson,4435
David Ousted,David_Ousted,2869
William,BillClinton,9382586
Michael Dawson,Mazzdestruction,329
Nuno Henrique,VlopesFLA,838
Jonás Gutiérrez,elgalgojonas,245338
Manuel da Costa,Digital_tonic,1952
Samuel Holmén,S_Holmen84,54525
Brad Guzan,bguzan,285654
Matthias Lehmann,yongsagisa,350
Harrison Henao,harrisonhenao9,263
Eros Pisano,ErosPisano,8407
Pedro Júnior,Pedrocervejeiro,2443
Juan Insaurralde,FanDeJuanM,564
Bram Castro,BramGbi,1
Pablo Barrera,pablosimonetti,322147
Moritz Stoppelkamp,Stoppelinho,2618
Taras Mykhalyk,TMikhalik,13
Hicham Faik,HICHAM37300,4
Milan Vilotic,milanvilotic88,4
Jérémy Sorbon,JeremySORBON15,96
Alaixys Romao,AlaixysRomao,93117
Chris Mavinga,Chris_Mavinga,34076
Matej Vydra,vydra_92,25225
Miguel Flaño,MiguelFlano4,0
Daniele Gastaldello,DanieleGastald2,2
Glenn Whelan,Glenn_Whelan,205
Alberto,lfc18alberto,457428
Gojko Kacar,GkGojko,0
Kim Do Hyeok,yonsei13,258
Alejandro Faurlín,alefaurlin,31432
Gonçalo Brandão,crusherlol,471
Marcello Gazzola,GazzolaMarcy26,3179
Per Karlsson,bkwineper,4703
Thomas Rogne,Rogne25,182
Jordan Hugill,JordanHugill,6852
Fabián,MarcoFabian_10,2053488
Salvi,ellensalvi,22929
Jamie Walker,JWalks_Perc,1204
Lisandro Magallán,lichamagallan,5568
Mauro Formica,Gatoformica10,66702
Barragán,RepBarragan,5681
Yosuke Kashiwagi,yosukekun08,64527
Dimitri Oberlin,DimitriOberlin,14
Craig Bryson,EleanorDallas,1459
Idris,idriselba,2319993
Laure,laureboulleau,249577
Emre Tasdemir,emretasdemrr,345
Christian Kouakou,kychristian13_,3013
Issiar Dia,IssiarD,29313
Bryan Cabezas,bryancabezas,262
Dani Nieto,91nietodani,5170
Scott Malone,ScottyMalone28,9482
Carlos Salom,salom_turco,1674
Alex Castro,AlexCastroHdz,2683
Roger Espinoza,roger_em,831
